k-eff Eigenvalue:   1.1029664264661434
Region, Material,  flux g =  1, flux g =  2, flux g =  3, flux g =  4, flux g =  5, flux g =  6, flux g =  7, flux g =  8, flux g =  9, flux g = 10, flux g = 11, flux g = 12, flux g = 13, flux g = 14, flux g = 15, flux g = 16, flux g = 17, flux g = 18, flux g = 19, flux g = 20, flux g = 21, flux g = 22, flux g = 23, flux g = 24, flux g = 25
  1, mat_1,   4.5408399336765246E+00,   1.6094962017748511E+01,   1.6386219122378151E+01,   2.6556432223648226E+01,   1.4614041597808564E+01,   3.4996393388073188E+00,   2.9537164733293482E+00,   1.3372599861101777E+00,   2.0791653155235728E+00,   2.9935349514288498E+00,   4.4139252526515765E-01,   1.8716696573030253E-01,   1.8643562621958037E-01,   1.1225747197071387E+00,   1.5622607041407048E+00,   5.6823606065510390E-01,   1.1932676051225701E+00,   8.0687635455808726E-01,   1.3075175636799690E+00,   9.9487099266739343E-01,   1.4712235801057645E+00,   1.3046722473807966E+00,   1.0246575242494844E+00,   1.1056670056130784E+00,   4.6128098955831870E-01
  2, mat_2,   4.3390525542861029E+00,   1.5376463262528498E+01,   1.5661486659996964E+01,   2.6064792749429351E+01,   1.4736273520665385E+01,   3.5774045830494385E+00,   3.0901446236249606E+00,   1.3608086109308635E+00,   2.2060681556267956E+00,   3.0179844125118467E+00,   4.5026047929343016E-01,   1.9155777416141420E-01,   1.8988240175240770E-01,   1.1412918589112213E+00,   1.6032872860207330E+00,   5.9608046750142685E-01,   1.2566100911491132E+00,   8.5141641275370994E-01,   1.3924404890093844E+00,   1.0716630631624466E+00,   1.6066455711425294E+00,   1.4508910808463733E+00,   1.1640346280728791E+00,   1.3034188197169387E+00,   6.0316882711199804E-01
  3, mat_3,   4.2722295964903436E+00,   1.5227123230500940E+01,   1.5625992207666776E+01,   2.6048635469320221E+01,   1.4746072700215400E+01,   3.5882208802119644E+00,   3.1090029609386445E+00,   1.3643289537264440E+00,   2.2236048028209336E+00,   3.0214402191425580E+00,   4.5159401160211088E-01,   1.9215093857025836E-01,   1.9034432683016445E-01,   1.1438560275927894E+00,   1.6090663319766678E+00,   6.0005328285353399E-01,   1.2654153756020201E+00,   8.5760285946660209E-01,   1.4042854013368611E+00,   1.0822873993606004E+00,   1.6253406369476289E+00,   1.4710415657155391E+00,   1.1833569782068911E+00,   1.3306747801424692E+00,   6.2201521852025210E-01
  4, mat_4,   4.2093705376052943E+00,   1.4854566319573149E+01,   1.5050589125721611E+01,   2.5662655812255846E+01,   1.4892673712128905E+01,   3.6550746418177744E+00,   3.2159832060576576E+00,   1.3830752245429259E+00,   2.3228189560965129E+00,   3.0425875838045386E+00,   4.5929523687359142E-01,   1.9603182019320625E-01,   1.9345361211454859E-01,   1.1608624147185793E+00,   1.6446709975612308E+00,   6.2316502065277612E-01,   1.3184668714607950E+00,   8.9559622741952472E-01,   1.4776777684756446E+00,   1.1494348846043232E+00,   1.7446919574964619E+00,   1.6017803855158166E+00,   1.3104097787716746E+00,   1.5166362710640937E+00,   7.5974001841114724E-01
